money,brand,model,year,color,fuel_type,door,gear,motor,body_type,kilometres,currency
3402000,Chevrolet,Cruze,2014,Gris,Nafta,4.0,Manual,1.8,Sedán,61389,pesos
3990000,Volkswagen,Suran Cross,2016,Gris,Nafta,5.0,Manual,1.6,Monovolumen,39000,pesos
16500,Honda,CR-V,2010,Celeste,Nafta,5.0,Automática,2.4,SUV,138000,dólares
4589900,Volkswagen,Saveiro,2020,Blanco,Nafta,2.0,Manual,1.6,Pick-Up,35000,pesos
3539000,Honda,Fit,2013,Gris,Nafta,5.0,Manual,1.5,Hatchback,110000,pesos
3726000,Ford,Focus III,2017,Gris,Nafta,5.0,Manual,1.6,Hatchback,56100,pesos
3700000,Ford,Fiesta Kinetic Design,2017,Celeste,Nafta,5.0,Manual,1.6,Hatchback,43000,pesos
5900000,Fiat,Toro,2017,Rojo,Diésel,4.0,Automática,2.0,Pick-Up,118000,pesos
1750000,Volkswagen,Gol Trend,2009,Plateado,Nafta,5.0,Manual,1.6,Hatchback,119000,pesos
16000,BMW,X5,2000,,Nafta,5.0,Manual,4.4,SUV,132000,dólares
3769200,Ford,Ecosport,2015,Plateado,Nafta,5.0,Manual,1.6,SUV,51834,pesos
2930000,Toyota,Corolla,2011,Gris,Nafta,4.0,Automática,1.8,Sedán,167000,pesos
60000,Toyota,Hilux,2022,Negro,Diésel,4.0,,2.8tdi 223cv,Pick-Up,4000,dólares
1900000,Chevrolet,Celta,2012,Rojo,Nafta,3.0,Manual,1.4,Hatchback,101000,pesos
95000,BMW,Serie 4,2022,Negro,Nafta,2.0,Automática,2.0,Coupé,21000,dólares
3100000,Chevrolet,Onix,2018,Gris,Nafta/GNC,5.0,Manual,1.4,Hatchback,62300,pesos
3780000,Ford,Fiesta Kinetic Design,2017,Gris,Nafta,5.0,Manual,1.6,Hatchback,44607,pesos
2850000,Peugeot,308,2012,Azul,Nafta,5.0,Manual,2.0,Hatchback,130000,pesos
2500000,Citroën,C3 Picasso,2012,Blanco,Nafta,5.0,Manual,1.6,Hatchback,112000,pesos
1900000,Fiat,Palio,2011,Gris,Nafta,5.0,Manual,1.6,Rural,190000,pesos
47700,Toyota,SW4,2020,Gris,Diésel,5.0,Automática,2.8,SUV,71000,dólares
64900,RAM,1500,2022,Rojo,Nafta,4.0,Automática,5.7,Pick-Up,18000,dólares
7970000,Volkswagen,Taos,2022,Gris,Nafta,5.0,Automática,1.4,SUV,1111,pesos
6590000,Volkswagen,T-Cross,2019,Gris,Nafta,5.0,Automática,1.6,SUV,23000,pesos
4089900,Ford,Focus III,2017,Azul,Nafta,4.0,Manual,2.0,Sedán,79000,pesos
4989900,Ford,Ecosport,2020,Blanco,Nafta,5.0,Automática,1.5,SUV,39000,pesos
2649900,Ford,Fiesta Kinetic Design,2013,Gris,Nafta,5.0,Manual,1.6,Hatchback,79000,pesos
8459900,Volkswagen,Passat,2017,Blanco,Nafta,4.0,Automática,2.0,Sedán,59000,pesos
2350000,Fiat,Palio,2015,Negro,Nafta/GNC,5.0,Manual,1.4,Hatchback,64000,pesos
7890000,Hyundai,Santa Fe,2017,Gris,Nafta,5.0,Manual,2.4,SUV,90000,pesos
5990000,Jeep,Renegade,2018,Rojo,Nafta,5.0,Automática,1.8,SUV,57000,pesos
12500,BMW,Serie 1,2010,Plateado,Nafta,3.0,Manual,2.0,Hatchback,125000,dólares
6300000,Toyota,Corolla,2018,,Nafta,4.0,Automática,1.8,Sedán,16500,pesos
7489000,Volkswagen,Amarok,2017,Blanco,Diésel,2.0,Manual,2.0,Pick-Up,115000,pesos
4400000,Citroën,C4 Cactus,2018,Violeta,Nafta,5.0,Automática,1.2,SUV,46000,pesos
2510000,Renault,Sandero,2019,Negro,Nafta,5.0,Manual,1.6,Hatchback,58000,pesos
9300000,Ford,Territory,2021,Blanco,Nafta,5.0,Automática,1.5,SUV,15000,pesos
3499900,Chevrolet,Onix,2017,Rojo,Nafta/GNC,5.0,Manual,1.4,Hatchback,60000,pesos
2900000,Volkswagen,Voyage,2018,Azul,Nafta,4.0,Manual,1.6,Sedán,38000,pesos
5900000,Toyota,Yaris,2020,Blanco,Nafta,5.0,Manual,1.5,Hatchback,12000,pesos
3459900,Volkswagen,Gol Trend,2017,Blanco,Nafta,5.0,Manual,1.6,Hatchback,39000,pesos
3600000,Renault,Duster,2016,Blanco,Nafta,5.0,Manual,1.6,SUV,76000,pesos
3799000,Peugeot,208,2017,Gris,Nafta,5.0,Manual,1.6,Hatchback,58000,pesos
4250000,Renault,Duster,2015,Negro,Nafta/GNC,5.0,Manual,2.0,SUV,89400,pesos
2880000,Ford,Fiesta Kinetic Design,2015,Negro,Nafta,5.0,Manual,1.6,Hatchback,89800,pesos
2200000,Honda,Fit,2011,Negro,Nafta,5.0,Manual,1.4,Hatchback,137000,pesos
6490000,Mitsubishi,L200,2016,Gris,Diésel,4.0,Manual,3.2,Pick-Up,181800,pesos
7190000,Citroën,C4 Spacetourer,2019,Blanco,Nafta,5.0,Automática,1.6,Monovolumen,60000,pesos
4589900,Volkswagen,Saveiro,2020,Blanco,Nafta,2.0,Manual,1.6,Pick-Up,37000,pesos
3489900,Citroën,DS4,2013,Blanco,Nafta,5.0,Automática,1.6,Hatchback,79100,pesos
8600000,Toyota,Hilux,2017,Blanco,Diésel,4.0,Automática,2.8,Pick-Up,170000,pesos
10599,Mercedes-Benz,Clase C,2008,Plateado,Nafta,4.0,Automática,2.2,Sedán,250000,dólares
7950000,Nissan,Sentra,2020,Blanco,Nafta,4.0,Automática,2.0,Sedán,30000,pesos
28500,Peugeot,308,2017,Azul,Nafta,5.0,Manual,1.6,Hatchback,42000,dólares
3990000,Peugeot,Expert,2014,Blanco,Diésel,3.0,Manual,2.0,Monovolumen,130000,pesos
3490000,Ford,Ecosport,2015,Plateado,Nafta,5.0,Manual,1.6,SUV,51000,pesos
3564000,Honda,Fit,2013,Blanco,Nafta,5.0,Manual,1.5,Hatchback,82012,pesos
2890000,Peugeot,408,2013,,Nafta,4.0,Manual,2.0,Sedán,129400,pesos
3449900,Volkswagen,Vento,2011,Gris,Nafta,4.0,Automática,2.5,Sedán,89000,pesos
3789900,Volkswagen,Polo,2018,Gris,Nafta,5.0,Automática,1.6,Hatchback,109000,pesos
34990,Mercedes-Benz,Clase GLA,2015,Negro,Nafta,5.0,Automática,1.6,SUV,86000,dólares
7899900,Volkswagen,Amarok,2018,Blanco,Diésel,4.0,Manual,2.0,Pick-Up,79000,pesos
3150000,Honda,Fit,2013,Blanco,Nafta,5.0,Manual,1.5,Hatchback,82000,pesos
2950000,Toyota,Etios,2017,Blanco,Nafta,5.0,Manual,1.5,Hatchback,84000,pesos
4459900,Renault,Duster Oroch,2019,Blanco,Nafta,4.0,Manual,1.6,SUV,62000,pesos
3150000,Chevrolet,Cruze,2014,Plateado,Nafta,4.0,Manual,1.8,Sedán,61000,pesos
13499,Volkswagen,Vento,2012,Plateado,Nafta,4.0,Automática,2.0,Sedán,196000,dólares
3485000,Volkswagen,Polo,2017,Gris,Nafta,4.0,Manual,1.6,Hatchback,49000,pesos
3189900,Renault,Kwid,2020,Rojo,Nafta,5.0,Manual,1.0,Hatchback,39000,pesos
3289900,Renault,Mégane III,2016,Azul,Nafta,4.0,Manual,1.6,Hatchback,69000,pesos
12490000,Toyota,Corolla Cross,2022,Negro,Híbrido/Nafta,5.0,Automática,1.8,SUV,2000,pesos
2689900,Peugeot,308,2012,Blanco,Nafta,5.0,Manual,1.6,Hatchback,79000,pesos
35499,Toyota,Hilux,2020,Plateado,Diésel,4.0,Automática,2.8,Pick-Up,57700,dólares
3489900,Hyundai,Tucson,2011,Plateado,Nafta,5.0,Manual,2.0,SUV,137000,pesos
3589900,Ford,Focus III,2015,Blanco,Nafta,5.0,Automática,2.0,Hatchback,79000,pesos
2989900,Fiat,500,2014,Azul,Nafta,3.0,Manual,1.4,Hatchback,69000,pesos
13949900,Chevrolet,Trailblazer,2021,Gris,Diésel,5.0,Automática,2.8,SUV,23000,pesos
3189900,Chevrolet,Onix,2016,Rojo,Nafta/GNC,5.0,Automática,1.4,Hatchback,60000,pesos
2500000,Subaru,XV,2011,Blanco,Nafta,5.0,Automática,2.0,Hatchback,204000,pesos
1760000,Fiat,Uno,2010,Rojo,Nafta,5.0,Manual,,,128000,pesos
12489000,Toyota,Hilux,2019,Blanco,Diésel,4.0,Automática,2.8,Pick-Up,64000,pesos
5889000,Jeep,Renegade,2017,Gris,Nafta,5.0,Automática,1.8,SUV,62000,pesos
3700000,Toyota,RAV4,2010,Negro,Nafta,5.0,Automática,2.4,SUV,98000,pesos
3089900,Chevrolet,Prisma,2017,Negro,Nafta/GNC,4.0,Manual,1.4,Sedán,69000,pesos
6489900,Audi,A1,2016,Gris,Nafta,3.0,Automática,1.4,Hatchback,46000,pesos
4389900,Audi,A3 Sportback,2011,Blanco,Nafta,5.0,Automática,2.0,Hatchback,89000,pesos
2800000,Peugeot,308,2016,Blanco,Nafta,5.0,Manual,1.6,Hatchback,161000,pesos
4630000,Peugeot,208,2022,Negro,Nafta,5.0,Manual,1.6,Hatchback,500,pesos
26990,Toyota,SW4,2011,Negro,Diésel,5.0,Manual,3.0 TD,SUV,140000,dólares
8000,Volkswagen,Gol Trend,2013,Gris,Nafta,5.0,Manual,1.6,Hatchback,130000,dólares
3989900,Audi,A4,2011,Gris,Nafta,4.0,Automática,2.0,Sedán,99100,pesos
3050000,Renault,Logan,2016,,Nafta,4.0,Manual,1.6,Sedán,37300,pesos
7150000,Honda,HR-V,2017,Blanco,Nafta,5.0,Automática,1.8,SUV,77000,pesos
3450500,Volkswagen,Suran,2015,Plateado,Nafta,5.0,Manual,1.6,Monovolumen,65000,pesos
3500000,Ford,Fiesta Kinetic Design,2017,Plateado,Nafta,5.0,Manual,1.6,Hatchback,44000,pesos
8500000,Volkswagen,Amarok,2019,Dorado,Diésel,4.0,Automática,2.0,Pick-Up,88000,pesos
1690000,Chevrolet,Celta,2013,,Nafta,3.0,Manual,1.4,Hatchback,109000,pesos
2750000,Peugeot,408,2012,Gris,Nafta,4.0,Automática,1.6,Sedán,95000,pesos
10500000,Peugeot,3008,2020,Gris,Nafta,5.0,Automática,1.6,SUV,45800,pesos
3250000,Chevrolet,Onix,2017,Negro,Nafta,5.0,Manual,1.4,Hatchback,112000,pesos
2649900,Ford,Fiesta Kinetic Design,2013,Violeta,Nafta,5.0,Manual,1.6,Hatchback,79000,pesos
11900000,Toyota,Hilux,2019,Gris,Diésel,4.0,Automática,2.8,Pick-Up,51600,pesos
6690000,Toyota,Corolla,2019,Marrón,Nafta,4.0,Automática,1.8,Sedán,49000,pesos
10900000,Volkswagen,Tiguan Allspace,2021,Gris,Nafta,5.0,Automática,1.4,SUV,48700,pesos
5099999,Volkswagen,Saveiro,2019,Gris,Nafta,2.0,Manual,1.6,Pick-Up,86000,pesos
3290000,Citroën,C3,2017,Blanco,Nafta,5.0,Manual,1.5,Hatchback,96400,pesos
5390000,Ford,Focus III,2017,Rojo,Nafta,5.0,Automática,2.0,Hatchback,26000,pesos
2550000,Citroën,C3,2014,Blanco,Nafta,5.0,Manual,1.6,Hatchback,119000,pesos
2990000,Peugeot,308,2014,Blanco,Nafta,5.0,Manual,1.6,Hatchback,74000,pesos
3300000,Volkswagen,Gol Trend,2018,Gris,Nafta,5.0,Manual,1.6,Hatchback,55000,pesos
4690000,Chevrolet,Tracker,2017,Gris,Nafta,5.0,Automática,1.8,SUV,41000,pesos
5099999,Renault,Duster,2019,Plateado,Nafta,5.0,Manual,1.6,SUV,59000,pesos
3299999,Volkswagen,Gol Trend,2018,Gris,Nafta,5.0,Manual,1.6,Hatchback,55000,pesos
11850000,Ford,Ranger,2021,Gris,Diésel,4.0,Automática,3.2,Pick-Up,61000,pesos
4900000,Chevrolet,S10,2016,Blanco,Diésel,4.0,Manual,2.8,Pick-Up,152000,pesos
7300000,Toyota,Corolla,2021,Negro,Nafta,4.0,Automática,1.8,Sedán,29200,pesos
3900000,Renault,Sandero,2020,Blanco,Nafta,5.0,Automática,1.6,Hatchback,62400,pesos
8500000,Peugeot,5008,2018,Gris,Nafta,5.0,Manual,1.6,Monovolumen,52000,pesos
14500,Mercedes-Benz,Clase C,2009,Azul,Nafta,4.0,Automática,3.0,Sedán,105000,dólares
43990,Mercedes-Benz,Clase GLA,2017,Gris,Nafta,5.0,Automática,1.6,SUV,60000,dólares
4000000,Ford,Fiesta Kinetic Design,2019,Plateado,Nafta/GNC,5.0,Manual,1.6,Hatchback,38000,pesos
3000000,Volkswagen,Up!,2016,Gris,Nafta,3.0,Manual,1.0,Hatchback,25000,pesos
77500,RAM,1500,2022,Gris,Nafta,4.0,Automática,5.7,Pick-Up,8000,dólares
7390000,Jeep,Renegade,2020,Blanco,Nafta,5.0,Automática,1.8,SUV,40000,pesos
89990,BMW,Serie 2,2021,Celeste,Nafta,2.0,Automática,3.0,Coupé,2500,dólares
8500000,Volkswagen,Vento,2018,Blanco,Nafta,4.0,Manual,2.0,Sedán,44000,pesos
33999,Volkswagen,Golf,2016,Blanco,Nafta,5.0,Automática,2.0,Hatchback,41100,dólares
5480000,BMW,Serie 3,2009,Gris,Nafta,2.0,Manual,2.5,Coupé,79700,pesos
4400000,Citroën,C4 Lounge,2018,Blanco,Diésel,4.0,Manual,1.6,Sedán,48000,pesos
8250000,Volkswagen,Amarok,2018,Plateado,Diésel,4.0,Automática,2.0,Pick-Up,50000,pesos
7500000,Volkswagen,Sharan,2014,,Nafta,5.0,Automática,2.0,Monovolumen,66000,pesos
5800000,Volkswagen,Vento,2015,Blanco,Nafta,4.0,Automática,2.5,Sedán,98000,pesos
2750000,Citroën,DS3,2012,,Nafta,3.0,Manual,1.6,Hatchback,95000,pesos
2700000,Chevrolet,Prisma,2013,Celeste,Nafta,4.0,Manual,1.4,Sedán,64000,pesos
9250000,Mercedes-Benz,Sprinter,2018,Blanco,Diésel,2.0,Manual,2.1,Minivan,242000,pesos
2440000,Renault,Fluence,2013,Dorado,Nafta,4.0,Manual,1.6,Sedán,45000,pesos
2189900,Renault,Clio,2016,Gris,Nafta,5.0,Manual,1.2,Hatchback,89100,pesos
2977000,Toyota,Etios,2017,Blanco,Nafta,5.0,Manual,1.5,Hatchback,85400,pesos
26990,Volkswagen,Polo,2021,Blanco,Nafta,5.0,Automática,1.4,Hatchback,10900,dólares
3150000,Ford,Ranger,2007,Blanco,Diésel,2.0,Manual,3.0,Pick-Up,178000,pesos
3000000,Volkswagen,Gol Trend,2016,Blanco,Nafta,5.0,Manual,1.6,Hatchback,96133,pesos
3000000,Citroën,C4 Lounge,2016,Gris,Nafta,4.0,Automática,1.6,Sedán,76916,pesos
6000000,Fiat,Toro,2017,Plateado,Diésel,4.0,Automática,2.0,Pick-Up,108933,pesos
3300000,Chery,Tiggo 3,2017,Gris,Nafta,5.0,Manual,1.6,SUV,71239,pesos
2600000,Renault,Fluence,2016,Blanco,Nafta,4.0,Manual,1.6,Sedán,98700,pesos
8700000,Citroën,Jumpy,2022,,Diésel,3.0,Manual,1.6,Furgón,1000,pesos
3280000,Ford,Ka,2018,Rojo,Nafta,5.0,Manual,1.5,Hatchback,37000,pesos
4690000,Renault,Kangoo,2021,Gris,Nafta,3.0,Manual,1.6,Furgón,23000,pesos
1895000,Suzuki,Swift,2009,Gris,Nafta,5.0,Manual,1.5,Hatchback,190000,pesos
4350000,Ford,Focus III,2017,Blanco,Nafta,5.0,Automática,2.0,Hatchback,44500,pesos
11200000,Toyota,Hilux,2021,Gris,Diésel,4.0,Automática,2.8,Pick-Up,28000,pesos
11890000,Volkswagen,Taos,2022,Gris,Nafta,5.0,Automática,1.4,SUV,1011,pesos
4200000,Renault,Sandero,2020,Gris,Nafta,5.0,Manual,1.6,Hatchback,22000,pesos
5890000,Hyundai,Creta,2019,Blanco,Nafta,5.0,Automática,1.6,SUV,55000,pesos
